Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-07-03 10:55:00+05:30,1303.5,1304.9000244140625,1302.5999755859375,1303.300048828125,138128,0.0,0.0
2026-07-03 11:00:00+05:30,1303.300048828125,1304.4000244140625,1303.0,1304.0999755859375,58533,0.0,0.0
2026-07-03 11:05:00+05:30,1304.199951171875,1304.5,1303.0,1303.0,124071,0.0,0.0
2026-07-03 11:10:00+05:30,1303.0999755859375,1303.300048828125,1302.0999755859375,1302.5,64379,0.0,0.0
2026-07-03 11:15:00+05:30,1302.5999755859375,1303.199951171875,1302.5,1302.800048828125,82744,0.0,0.0
2026-07-03 11:20:00+05:30,1302.5,1303.9000244140625,1302.0,1303.199951171875,97260,0.0,0.0
2026-07-03 11:25:00+05:30,1303.300048828125,1304.300048828125,1303.0,1303.5,121542,0.0,0.0
2026-07-03 11:30:00+05:30,1303.5,1304.300048828125,1302.9000244140625,1303.9000244140625,147520,0.0,0.0
2026-07-03 11:35:00+05:30,1304.0,1305.699951171875,1303.699951171875,1305.699951171875,229504,0.0,0.0
2026-07-03 11:40:00+05:30,1305.699951171875,1306.9000244140625,1305.199951171875,1305.5999755859375,112227,0.0,0.0
2026-07-03 11:45:00+05:30,1305.5999755859375,1307.0,1305.0,1306.4000244140625,69897,0.0,0.0
2026-07-03 11:50:00+05:30,1306.5999755859375,1307.300048828125,1306.0,1307.0,86555,0.0,0.0
2026-07-03 11:55:00+05:30,1307.199951171875,1310.0,1306.699951171875,1309.300048828125,306552,0.0,0.0
2026-07-03 12:00:00+05:30,1309.300048828125,1309.4000244140625,1307.699951171875,1308.5999755859375,125949,0.0,0.0
2026-07-03 12:05:00+05:30,1308.800048828125,1308.9000244140625,1306.0,1306.0999755859375,117698,0.0,0.0
2026-07-03 12:10:00+05:30,1306.300048828125,1307.699951171875,1305.4000244140625,1307.0,280071,0.0,0.0
2026-07-03 12:15:00+05:30,1307.0,1307.300048828125,1304.800048828125,1305.5,94951,0.0,0.0
2026-07-03 12:20:00+05:30,1305.5,1306.0,1304.0999755859375,1304.4000244140625,119433,0.0,0.0
2026-07-03 12:25:00+05:30,1304.4000244140625,1304.5999755859375,1303.0,1303.4000244140625,95189,0.0,0.0
2026-07-03 12:30:00+05:30,1303.5,1304.0999755859375,1303.199951171875,1303.300048828125,55823,0.0,0.0
2026-07-03 12:35:00+05:30,1303.300048828125,1304.9000244140625,1303.0999755859375,1303.800048828125,56228,0.0,0.0
2026-07-03 12:40:00+05:30,1303.800048828125,1304.0999755859375,1303.199951171875,1303.199951171875,57026,0.0,0.0
2026-07-03 12:45:00+05:30,1303.199951171875,1305.0,1303.199951171875,1304.199951171875,173403,0.0,0.0
2026-07-03 12:50:00+05:30,1304.5,1304.5999755859375,1304.0,1304.199951171875,31298,0.0,0.0
2026-07-03 12:55:00+05:30,1304.0999755859375,1304.699951171875,1304.0,1304.4000244140625,57904,0.0,0.0
2026-07-03 13:00:00+05:30,1304.0,1304.5999755859375,1304.0,1304.0999755859375,59671,0.0,0.0
2026-07-03 13:05:00+05:30,1304.0,1305.0,1304.0,1304.199951171875,57250,0.0,0.0
2026-07-03 13:10:00+05:30,1304.0,1304.4000244140625,1303.0,1303.5999755859375,62505,0.0,0.0
2026-07-03 13:15:00+05:30,1303.5999755859375,1304.199951171875,1303.300048828125,1304.0,47464,0.0,0.0
2026-07-03 13:20:00+05:30,1304.0,1304.199951171875,1303.5,1303.5999755859375,47992,0.0,0.0
2026-07-03 13:25:00+05:30,1303.5999755859375,1304.0,1303.0,1303.5999755859375,127298,0.0,0.0
2026-07-03 13:30:00+05:30,1303.5,1303.800048828125,1303.0,1303.0999755859375,67935,0.0,0.0
2026-07-03 13:35:00+05:30,1303.199951171875,1304.0,1302.4000244140625,1303.4000244140625,137873,0.0,0.0
2026-07-03 13:40:00+05:30,1303.4000244140625,1304.9000244140625,1303.300048828125,1304.9000244140625,56961,0.0,0.0
2026-07-03 13:45:00+05:30,1305.0,1305.0,1303.5,1305.0,118511,0.0,0.0
2026-07-03 13:50:00+05:30,1304.800048828125,1305.4000244140625,1304.5,1304.699951171875,124488,0.0,0.0
2026-07-03 13:55:00+05:30,1304.9000244140625,1305.300048828125,1304.199951171875,1304.5999755859375,47120,0.0,0.0
2026-07-03 14:00:00+05:30,1304.699951171875,1305.0,1304.5,1304.699951171875,33029,0.0,0.0
2026-07-03 14:05:00+05:30,1304.699951171875,1306.5,1304.5,1306.0999755859375,126100,0.0,0.0
2026-07-03 14:10:00+05:30,1306.300048828125,1306.4000244140625,1306.0,1306.0999755859375,50332,0.0,0.0
2026-07-03 14:15:00+05:30,1306.0,1306.300048828125,1304.800048828125,1306.0,110553,0.0,0.0
2026-07-03 14:20:00+05:30,1306.0999755859375,1306.300048828125,1305.5,1306.0,60866,0.0,0.0
2026-07-03 14:25:00+05:30,1306.0,1306.0,1305.5,1305.5,66731,0.0,0.0
2026-07-03 14:30:00+05:30,1305.5999755859375,1306.199951171875,1304.699951171875,1304.699951171875,145216,0.0,0.0
2026-07-03 14:35:00+05:30,1304.699951171875,1305.800048828125,1304.0999755859375,1305.0,132067,0.0,0.0
2026-07-03 14:40:00+05:30,1305.0999755859375,1305.300048828125,1304.0999755859375,1304.0999755859375,83383,0.0,0.0
2026-07-03 14:45:00+05:30,1304.699951171875,1304.9000244140625,1304.0999755859375,1304.199951171875,78004,0.0,0.0
2026-07-03 14:50:00+05:30,1304.300048828125,1304.5,1303.300048828125,1303.699951171875,71341,0.0,0.0
2026-07-03 14:55:00+05:30,1303.5999755859375,1304.0,1303.0999755859375,1303.4000244140625,54688,0.0,0.0
2026-07-03 15:00:00+05:30,1303.5,1304.0999755859375,1303.5,1303.9000244140625,108263,0.0,0.0
2026-07-03 15:05:00+05:30,1303.800048828125,1304.300048828125,1303.5999755859375,1303.9000244140625,324748,0.0,0.0
2026-07-03 15:10:00+05:30,1303.800048828125,1304.0,1303.699951171875,1303.800048828125,110727,0.0,0.0
2026-07-03 15:15:00+05:30,1303.9000244140625,1304.5,1303.699951171875,1304.5,172324,0.0,0.0
2026-07-03 15:20:00+05:30,1304.300048828125,1304.5,1303.5,1303.5,152354,0.0,0.0
2026-07-03 15:25:00+05:30,1303.699951171875,1305.199951171875,1302.5,1305.199951171875,212135,0.0,0.0
2026-07-06 09:15:00+05:30,1304.699951171875,1305.800048828125,1301.5,1302.199951171875,0,0.0,0.0
2026-07-06 09:20:00+05:30,1301.9000244140625,1302.5,1299.699951171875,1301.699951171875,141672,0.0,0.0
2026-07-06 09:25:00+05:30,1301.5999755859375,1303.199951171875,1300.0999755859375,1300.699951171875,86483,0.0,0.0
2026-07-06 09:30:00+05:30,1301.199951171875,1303.0,1301.199951171875,1303.0,63869,0.0,0.0
2026-07-06 09:35:00+05:30,1303.0,1304.0999755859375,1303.0,1303.300048828125,49676,0.0,0.0
2026-07-06 09:40:00+05:30,1303.9000244140625,1303.9000244140625,1301.9000244140625,1302.199951171875,47320,0.0,0.0
2026-07-06 09:45:00+05:30,1302.199951171875,1304.5999755859375,1302.199951171875,1303.0999755859375,81949,0.0,0.0
2026-07-06 09:50:00+05:30,1303.0999755859375,1303.199951171875,1302.300048828125,1302.699951171875,46775,0.0,0.0
2026-07-06 09:55:00+05:30,1303.0,1303.300048828125,1302.699951171875,1303.0,34617,0.0,0.0
2026-07-06 10:00:00+05:30,1303.0,1303.199951171875,1302.199951171875,1302.5,40448,0.0,0.0
2026-07-06 10:05:00+05:30,1302.199951171875,1303.0999755859375,1302.199951171875,1303.0,60286,0.0,0.0
2026-07-06 10:10:00+05:30,1302.9000244140625,1303.300048828125,1301.5,1303.300048828125,99268,0.0,0.0
2026-07-06 10:15:00+05:30,1303.300048828125,1304.5999755859375,1303.199951171875,1304.5,81591,0.0,0.0
2026-07-06 10:20:00+05:30,1304.5,1307.5,1304.5,1306.699951171875,188474,0.0,0.0
2026-07-06 10:25:00+05:30,1306.5999755859375,1309.800048828125,1306.300048828125,1309.199951171875,153483,0.0,0.0
2026-07-06 10:30:00+05:30,1309.0999755859375,1311.0,1308.9000244140625,1310.699951171875,166718,0.0,0.0
2026-07-06 10:35:00+05:30,1310.5999755859375,1311.0,1308.5,1308.800048828125,75293,0.0,0.0
2026-07-06 10:40:00+05:30,1308.800048828125,1309.0999755859375,1308.300048828125,1308.699951171875,53211,0.0,0.0
2026-07-06 10:45:00+05:30,1308.5999755859375,1310.4000244140625,1308.0999755859375,1310.0,107932,0.0,0.0
2026-07-06 10:50:00+05:30,1310.0,1319.699951171875,1310.0,1319.699951171875,421459,0.0,0.0
